transaction_id,price,date,postcode,property_type,tenure_type,street,town_city,district,county
{E53EDD2E-9140-83EC-E053-6B04A8C03A59},250000.0,2021-10-29,BS10 5FH,D,F,BISHOPTHORPE LANE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9141-83EC-E053-6B04A8C03A59},177000.0,2021-12-06,BS13 7AF,T,F,BEDMINSTER DOWN ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9151-83EC-E053-6B04A8C03A59},335000.0,2021-05-24,BS10 5BY,S,F,MASKELYNE AVENUE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9155-83EC-E053-6B04A8C03A59},326000.0,2021-09-22,BS5 7TR,T,F,WHITEFIELD AVENUE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9159-83EC-E053-6B04A8C03A59},200000.0,2021-07-09,BS9 2EA,O,L,SHIREHAMPTON ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-915F-83EC-E053-6B04A8C03A59},180851.0,2021-11-09,BS15 1BH,O,F,TWO MILE HILL ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9160-83EC-E053-6B04A8C03A59},500.0,2021-09-23,BS6 5HT,O,F,COBOURG ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9162-83EC-E053-6B04A8C03A59},250000.0,2021-11-30,BS13 7AF,O,F,BEDMINSTER DOWN ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-9356-83EC-E053-6B04A8C03A59},285000.0,2021-12-03,BS2 8PH,F,L,WILDER STREET,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{E53EDD2E-936B-83EC-E053-6B04A8C03A59},500000.0,2021-06-16,BS9 2BE,T,F,POPLAR AVENUE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{F87E72F8-8E1B-176C-E053-6B04A8C0D2BE},422000.0,2021-04-30,BS6 5DJ,F,L,BELVOIR ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{F87E72F8-8E8C-176C-E053-6B04A8C0D2BE},372000.0,2021-11-09,BS3 4JJ,T,F,ST JOHNS ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{EC7AD099-3DE1-9200-E053-6C04A8C0E306},185000.0,2021-01-29,BS5 8HG,F,L,SUMMERHILL ROAD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{EC7AD099-3F03-9200-E053-6C04A8C0E306},230000.0,2021-08-11,BS9 1HJ,F,L,EASTMEAD LANE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
{EC7AD099-3F4B-9200-E053-6C04A8C0E306},240000.0,2021-10-22,BS4 4TN,T,F,CAPGRAVE CRESCENT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
